City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Wanning,CN,76.01,scattered clouds,18.8003,110.3967,Paradise Hotel
11,Victoria,HK,76.32,broken clouds,22.2855,114.1577,Mini Hotel Central
16,Butaritari,KI,81.88,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Atuona,PF,77.59,few clouds,-9.8,-139.0333,Villa Enata
18,Hilo,US,76.12,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
19,Takoradi,GH,79.92,broken clouds,4.8845,-1.7554,Raybow International Hotel
20,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
23,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
28,Dhidhdhoo,MV,80.06,overcast clouds,6.8833,73.1,Dhidhoo beach
38,Vaini,TO,75.18,few clouds,-21.2,-175.2,Keleti Beach Resort
39,Kasempa,ZM,79.84,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
42,Kapoeta,SS,84.61,broken clouds,4.7717,33.5903,Eastgate Hotel
44,Hithadhoo,MV,82.62,broken clouds,-0.6,73.0833,Scoop Guest House
45,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
46,Basco,PH,80.65,few clouds,20.4487,121.9702,Nathaniel's Lodge
58,Meulaboh,ID,75.63,overcast clouds,4.1363,96.1285,Kost Pria
60,San Juan,AR,88.9,clear sky,-31.5375,-68.5364,Hotel Provincial
69,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
71,Namatanai,PG,79.57,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
73,Cabo San Lucas,MX,84.06,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
74,Pontianak,ID,77.99,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
76,Isoka,ZM,79.2,overcast clouds,-10.1606,32.6335,Location Compound
83,Bonthe,SL,76.39,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
86,Dingle,PH,75.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
87,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Tual,ID,83.07,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
92,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
93,Poum,NC,75.0,few clouds,-20.2333,164.0167,Gîte kajeon
98,Pangai,TO,76.5,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
101,Alofi,NU,76.64,light rain,-19.0595,-169.9187,Taloa Heights
106,Sulangan,PH,83.17,broken clouds,11.1373,123.7228,Maia's Beach Resort
111,Kieta,PG,78.4,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
115,Ambon,ID,81.34,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
120,Laem Sing,TH,77.23,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
124,Ewo,CG,79.12,light rain,-0.8725,14.8206,Residence Elonda Ewo
132,Apomu,NG,77.65,overcast clouds,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
133,Bengkulu,ID,76.12,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
138,Soyo,AO,78.01,overcast clouds,-6.1349,12.3689,Hotel Mpampa
140,Am Timan,TD,83.89,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
141,Madang,PG,77.88,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
143,Paredon,MX,87.48,clear sky,16.0333,-93.8667,Hotel Principal Paredon
157,Anapoima,CO,82.58,overcast clouds,4.5203,-74.5394,La Boutique Hotel
159,George Town,MY,76.95,overcast clouds,5.4112,100.3354,Cititel Penang
160,Nizwa,OM,79.27,clear sky,22.9333,57.5333,Orient Apartments
168,Tshikapa,CD,76.12,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
170,Auki,SB,77.14,broken clouds,-8.7676,160.7034,Auki Motel
177,San Policarpo,PH,80.55,overcast clouds,12.1791,125.5072,Agapita M. Nicart
178,Porto Novo,BJ,80.38,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
182,Amahai,ID,78.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
184,Port Said,EG,75.33,scattered clouds,31.2565,32.2841,Aracan Hotel
185,Kudahuvadhoo,MV,82.6,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
191,Mayumba,GA,77.61,light rain,-3.432,10.6554,LIKWALE LODGE
192,Sola,VU,81.16,clear sky,-13.8833,167.55,Leumerus Bungalows
195,Bubaque,GW,78.69,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Batticaloa,LK,79.21,broken clouds,7.7102,81.6924,Grand Star Guest House
202,Kailua,US,80.08,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
205,Praya,CV,79.23,overcast clouds,14.9215,-23.5087,LT Aparthotel
209,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
214,Marsh Harbour,BS,81.01,broken clouds,26.5412,-77.0636,Abaco Beach Resort
215,Kapit,MY,75.13,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
228,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
233,San Vicente,AR,79.97,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
235,Harper,LR,78.6,light rain,4.375,-7.7169,Screensaver
237,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
241,Kavaratti,IN,82.02,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
245,Voi,KE,77.13,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
247,Robertsport,LR,78.39,light rain,6.7533,-11.3686,Kwepunha Retreat
255,Diu,IN,76.68,broken clouds,20.7141,70.9822,Hotel Relax Inn
265,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
275,Lazaro Cardenas,MX,83.91,clear sky,17.9583,-102.2,quinta antigua
276,Acarau,BR,85.84,broken clouds,-2.8856,-40.12,castelo pizzaria
282,Montepuez,MZ,81.81,broken clouds,-13.1256,38.9997,PembaAparthotel
285,Shirgaon,IN,77.31,scattered clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
289,Kununurra,AU,83.61,overcast clouds,-15.7667,128.7333,Hotel Kununurra
292,Sinnamary,GF,84.07,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
293,Conceicao Do Mato Dentro,BR,81.43,overcast clouds,-19.0372,-43.425,Hotel Vista Inn
294,Itarema,BR,86.27,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
296,Labuhan,ID,81.07,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
312,Maceio,BR,81.03,clear sky,-9.6658,-35.7353,Poutur Pousada
317,Denpasar,ID,77.5,overcast clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
318,Marrakesh,MA,75.72,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
320,Phan Thiet,VN,77.05,scattered clouds,10.9333,108.1,Hotel Saigon-PT
322,Progreso,MX,86.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
323,Kalmunai,LK,78.21,broken clouds,7.4167,81.8167,VS Villa
324,Caravelas,BR,79.74,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
327,Ahuimanu,US,79.79,few clouds,21.4447,-157.8378,Paradise Bay Resort
329,Wewak,PG,79.65,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
330,Faanui,PF,78.35,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
337,Bireun,ID,78.28,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
345,Luganville,VU,77.81,clear sky,-15.5333,167.1667,The Espiritu Hotel
346,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
348,San Patricio,US,82.06,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
352,Pedernales,DO,87.33,scattered clouds,18.0384,-71.744,Hotel Costa Marina
355,Fomboni,KM,78.67,clear sky,-12.28,43.7425,Auberge les abou
360,Lompoc,US,75.13,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
361,Mogadishu,SO,79.45,clear sky,2.0371,45.3438,Hotel Juba
364,Kavieng,PG,82.35,light rain,-2.5744,150.7967,Nusa Island Retreat
365,Banda Aceh,ID,78.78,overcast clouds,5.5577,95.3222,Sulthan Hotel International
366,Mattru,SL,75.87,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
367,Matara,LK,76.91,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
375,Pau Brasil,BR,79.5,broken clouds,-15.4642,-39.6511,Tina Hotel
382,Nuevo Progreso,MX,87.55,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
385,Lagoa Da Prata,BR,82.09,broken clouds,-20.0225,-45.5436,Pousada Parador da Figueira
386,Hirara,JP,75.72,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
387,Wamba,NG,77.9,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
391,Fare,PF,78.17,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
394,Atar,MR,89.71,overcast clouds,20.5169,-13.0499,Oumou Elghoura
395,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
403,Pak Phanang,TH,79.25,overcast clouds,8.3511,100.202,Green Park Inn Hotel
404,Ibiruba,BR,79.25,overcast clouds,-28.6275,-53.0897,Hotel Pitangueira - O melhor serviço pelo menor preço.
405,Kotido,UG,78.6,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
407,Dumai,ID,75.07,overcast clouds,1.6833,101.45,Grand Zuri Dumai
408,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
409,Tayu,ID,81.25,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
411,Gouyave,GD,84.97,scattered clouds,12.1646,-61.7296,Rumboat Retreat
412,Maragogi,BR,81.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
414,Oranjestad,AW,79.66,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
419,Mangrol,IN,78.13,broken clouds,21.1167,70.1167,Hotel The Royal Honours
422,Booue,GA,75.45,moderate rain,-0.0921,11.9385,Splendeur de l'équateur
423,Gemena,CD,75.16,broken clouds,3.25,19.7667,Hôtel Goshen
429,Irece,BR,88.86,few clouds,-11.3042,-41.8558,RADAR INN HOTEL
431,Santo Domingo,DO,89.24,broken clouds,18.5001,-69.9886,Cabañas City Heart
433,Arlit,NE,88.93,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
435,Porangatu,BR,78.3,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
437,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
438,Beitbridge,ZW,88.34,few clouds,-22.2167,30.0,Beitbridge Express Hotel
439,Giyani,ZA,81.88,broken clouds,-23.3025,30.7187,Kulani Country Lodge
444,Pamekasan,ID,82.17,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
448,Daru,PG,78.85,overcast clouds,-9.0763,143.2092,Daru Lodge
449,Ishigaki,JP,76.03,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
452,Papara,BR,86.72,broken clouds,-3.9839,-38.7273,Romin
454,Xuddur,SO,79.92,scattered clouds,4.1213,43.8894,Banjanay Hotel
459,Lorengau,PG,81.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
466,Iracoubo,GF,83.97,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
468,Luangwa,ZM,81.86,few clouds,-15.6167,30.4167,Gerasimos Safari Lodge
472,Teknaf,BD,76.66,few clouds,20.8624,92.3058,Forestry Guesthouse
477,Les Cayes,HT,84.45,overcast clouds,18.2,-73.75,Villa Orphee
481,Chadiza,ZM,76.39,few clouds,-14.0678,32.4392,Sankhani Guest House
485,Brownsville,US,84.97,clear sky,25.9018,-97.4975,University Inn & Suites
490,Lakatoro,VU,78.28,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
491,Presidente Olegario,BR,84.11,overcast clouds,-18.4178,-46.4181,Cruzeiro Hotel
492,Bathsheba,BB,83.16,scattered clouds,13.2167,-59.5167,Atlantis Hotel
498,Ayapel,CO,83.7,overcast clouds,8.3137,-75.1398,Hotel Colsama
499,San Felipe,VE,82.11,light rain,10.3399,-68.7425,Posada Llovizna Rodríguez
500,Puerto Leguizamo,CO,81.86,broken clouds,-0.1934,-74.7819,la casona de juancho
503,Asyut,EG,84.87,overcast clouds,27.181,31.1837,Florence Hotel Assiut
518,Samarai,PG,81.68,broken clouds,-10.6167,150.6667,Nuli Sapi
521,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
528,Pindiga,NG,81.73,overcast clouds,9.9833,10.9333,Accommodation Center
529,San Rafael,AR,78.1,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
530,Manaure,CO,84.31,overcast clouds,11.7751,-72.4445,Hotel Palaaima
535,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
536,Nabire,ID,75.02,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
545,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
