City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.77,85,86,21.7,light rain
1,Khatanga,RU,71.9667,102.5,-2.61,99,93,2.95,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,27.28,92,83,11.01,broken clouds
3,East London,ZA,-33.0153,27.9116,65.8,85,29,8.5,scattered clouds
4,Hobart,AU,-42.8794,147.3294,52.27,69,75,3.0,broken clouds
5,Sorland,NO,67.667,12.6934,49.23,90,100,20.45,overcast clouds
6,Wanning,CN,18.8003,110.3967,76.01,87,50,9.42,scattered clouds
7,Karratha,AU,-20.7377,116.8463,73.17,68,0,8.28,clear sky
8,Albany,US,42.6001,-73.9662,57.58,91,99,7.99,light rain
9,Hulja,EE,59.3522,26.2179,45.0,85,88,9.28,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,72.79,79,71,8.86,broken clouds
11,Victoria,HK,22.2855,114.1577,76.32,84,80,3.0,broken clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,75,8.05,light snow
13,Port Hawkesbury,CA,45.6169,-61.3485,55.96,68,15,6.82,few clouds
14,Qaqortoq,GL,60.7167,-46.0333,31.3,76,35,2.33,scattered clouds
15,Vetluga,RU,57.8557,45.781,43.32,97,100,5.3,overcast clouds
16,Butaritari,KI,3.0707,172.7902,81.88,73,83,6.04,light rain
17,Atuona,PF,-9.8,-139.0333,77.59,70,22,18.7,few clouds
18,Hilo,US,19.7297,-155.09,76.12,67,1,6.91,clear sky
19,Takoradi,GH,4.8845,-1.7554,79.92,82,84,12.01,broken clouds
20,Touros,BR,-5.1989,-35.4608,86.9,64,42,18.7,scattered clouds
21,Koslan,RU,63.4564,48.8989,29.68,97,99,4.25,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,47.46,69,32,3.85,scattered clouds
23,Champerico,GT,14.3,-91.9167,88.34,71,98,3.91,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,63.9,82,48,10.47,scattered clouds
25,Kungurtug,RU,50.5994,97.5228,28.02,69,40,2.53,scattered clouds
26,Busselton,AU,-33.65,115.3333,45.05,90,35,6.87,scattered clouds
27,Jamestown,US,42.097,-79.2353,53.53,90,100,4.0,overcast clouds
28,Dhidhdhoo,MV,6.8833,73.1,80.06,82,100,5.66,overcast clouds
29,Mugur-Aksy,RU,50.35,90.5,14.83,85,98,5.84,overcast clouds
30,Nikolskoye,RU,59.7035,30.7861,45.32,93,85,6.96,overcast clouds
31,Isiro,CD,2.7739,27.616,67.84,99,96,3.27,moderate rain
32,Cape Town,ZA,-33.9258,18.4232,64.11,77,65,12.28,broken clouds
33,Le Port,RE,-20.9373,55.2919,71.6,77,31,6.08,scattered clouds
34,Port Alfred,ZA,-33.5906,26.891,63.93,91,11,9.08,few clouds
35,Shache,CN,38.4167,77.2406,49.21,31,3,4.0,clear sky
36,Ushuaia,AR,-54.8,-68.3,49.66,53,0,18.41,clear sky
37,Alabaster,US,33.2443,-86.8164,55.78,87,90,5.75,overcast clouds
38,Vaini,TO,-21.2,-175.2,75.18,74,11,13.38,few clouds
39,Kasempa,ZM,-13.4584,25.8338,79.84,29,72,3.44,broken clouds
40,Filadelfia,US,39.9523,-75.1638,68.88,57,75,7.0,broken clouds
41,Upernavik,GL,72.7868,-56.1549,25.79,57,100,8.12,overcast clouds
42,Kapoeta,SS,4.7717,33.5903,84.61,37,71,6.29,broken clouds
43,Kuzovatovo,RU,53.5468,47.6866,43.68,94,36,9.66,scattered clouds
44,Hithadhoo,MV,-0.6,73.0833,82.62,76,64,16.13,broken clouds
45,San Cristobal,VE,7.7669,-72.225,77.18,87,98,3.58,overcast clouds
46,Basco,PH,20.4487,121.9702,80.65,67,14,17.36,few clouds
47,Vera Cruz,BR,-12.6333,-41.0333,88.52,36,43,4.92,scattered clouds
48,Eureka,US,40.8021,-124.1637,62.74,100,68,5.57,broken clouds
49,Timmendorfer Strand,DE,54.0,10.7833,53.74,62,100,12.97,overcast clouds
50,Bluff,NZ,-46.6,168.3333,53.69,62,21,18.57,few clouds
51,Nanortalik,GL,60.1432,-45.2371,35.01,73,28,3.15,scattered clouds
52,Severo-Kurilsk,RU,50.6789,156.125,39.42,81,6,11.61,clear sky
53,Tripoli,LY,32.8752,13.1875,72.77,61,100,8.72,overcast clouds
54,Punta Arenas,CL,-53.15,-70.9167,53.11,40,36,4.65,scattered clouds
55,Cheyenne,US,41.14,-104.8203,66.96,50,1,16.11,clear sky
56,Guerrero Negro,MX,27.9769,-114.0611,73.81,54,0,7.25,clear sky
57,Mar Del Plata,AR,-38.0023,-57.5575,70.88,81,22,14.0,light rain
58,Meulaboh,ID,4.1363,96.1285,75.63,90,93,4.47,overcast clouds
59,Camara De Lobos,PT,32.6333,-16.9667,73.13,82,63,9.66,broken clouds
60,San Juan,AR,-31.5375,-68.5364,88.9,27,0,21.68,clear sky
61,Geraldton,AU,-28.7667,114.6,62.76,70,0,14.25,clear sky
62,New Norfolk,AU,-42.7826,147.0587,51.93,53,74,3.74,broken clouds
63,Klaksvik,FO,62.2266,-6.589,46.45,93,100,19.71,overcast clouds
64,Batemans Bay,AU,-35.7167,150.1833,46.9,80,30,4.43,scattered clouds
65,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,75,11.5,broken clouds
66,Aklavik,CA,68.2191,-135.0107,12.92,91,44,6.98,scattered clouds
67,Thompson,CA,55.7435,-97.8558,37.09,71,38,8.68,scattered clouds
68,Asau,RO,46.4333,26.4,45.75,88,0,1.3,clear sky
69,Georgetown,MY,5.4112,100.3354,76.95,94,20,2.3,few clouds
70,Olafsvik,IS,64.8945,-23.7142,42.91,87,46,16.24,scattered clouds
71,Namatanai,PG,-3.6667,152.4333,79.57,81,62,6.2,moderate rain
72,Tezu,IN,27.9167,96.1667,66.38,55,1,4.72,clear sky
73,Cabo San Lucas,MX,22.8909,-109.9124,84.06,63,27,3.67,scattered clouds
74,Pontianak,ID,-0.0333,109.3333,77.99,94,69,2.17,broken clouds
75,Bredasdorp,ZA,-34.5322,20.0403,60.04,87,47,5.75,scattered clouds
76,Isoka,ZM,-10.1606,32.6335,79.2,27,93,3.85,overcast clouds
77,Osa,RU,57.2829,55.4567,39.88,98,100,9.91,overcast clouds
78,Troitskoye,RU,52.9821,84.6757,34.7,95,100,8.39,overcast clouds
79,Alma,CA,48.5501,-71.6491,52.11,49,49,6.46,scattered clouds
80,Ribeira Grande,PT,38.5167,-28.7,71.33,90,100,20.11,overcast clouds
81,Chimore,BO,-16.9833,-65.1333,93.24,42,57,3.38,moderate rain
82,Cherskiy,RU,68.75,161.3,-1.05,98,100,5.14,overcast clouds
